#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	PGA926_profile	PGA871_profile	PGA851_profile	PGA793_profile	PGA750_profile	PGA618_profile	PGA591_profile	PGA532_profile	PGA491_profile	PGA479_profile	PGA350_profile	PGA314_profile	PGA306_profile	PGA284_profile	PGA269_profile	PGA186_profile	PGA127_profile	FH2055_profile	FH2054_profile	FH2053_profile	FH2051_profile	FH2050_profile	FH2049_profile	FH2048_profile	FH2047_profile	FH2046_profile	FH2045_profile	FH2044_profile	FH2043_profile	FH2042_profile	FH2041_profile	FH2040_profile	FH2039_profile	FH2038_profile	FH2037_profile	FH2036_profile	FH2035_profile	FH2034_profile	FH2033_profile	FH2032_profile	FH2031_profile	FH2030_profile	FH2029_profile	FH2028_profile	FH2027_profile	FH2026_profile	FH2025_profile	FH2024_profile	FH2023_profile	FH2022_profile	FH2021_profile	FH2020_profile	FH2019_profile	FH2018_profile	FH2017_profile	FH2016_profile	FH2013_profile	FH2006_profile	FH2004_profile	FH2003_profile	FH2002_profile	FH2001_profile	FH1035_profile	FH1032_profile	FH1031_profile	FH1029_profile	FH1028_profile	FH1007_profile	FH1005_profile	FH1004_profile
#/usr/local/bin/metaphlan Mesri-11732-006-RNAseq_S6_ME_L001_R1_001_kneaddata_paired_1.fastq,Mesri-11732-006-RNAseq_S6_ME_L001_R1_001_kneaddata_paired_2.fastq --input_type fastq --bowtie2out FH2003.bz2 --add_viruses --nproc 35		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
#SampleID	Metaphlan_Analysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
#clade_name	NCBI_tax_id	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	relative_abundance	0	0	0	0	0	0	0	0	0	0
#mpa_v30_CHOCOPhlAn_201901		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
WARNING: Cannot connect to the database server. The latest available local database will be used.		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
WARNING: It seems that you do not have Internet access.		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
k__Bacteria	2	0.06609	0	22.95797	0.04378	0.38958000000000004	15.53902	0.66533	0	0.9179999999999999	0	0.13809000000000002	0.75869	9.972539999999999	0.033819999999999996	0	0.03801	6.88208	0.006809999999999999	0	0.07536	0	0	0.02783	0	0	0.0595	0	0	0	0.05483	0	0	0	0.00286	0	0	0	0	0	0	0	0.14501	0.00629	0	0.29422	0.00457	0	2.33852	0	0.14405	0.56603	0.0115	0	0	0.1599	0	0.48602	0.033530000000000004	0.00209	0	0	2.12387	0	0	0	0	0.16523	0.6217600000000001	0	0.13225
k__Bacteria|p__Actinobacteria	2|201174	0	0	0	0	0	0	0	0	0	0	0.06717999999999999	0.10414000000000001	0	0	0	0.03801	0.0807	0	0	0	0	0	0	0	0	0.0342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00457	0	2.33852	0	0.14405	0.52394	0.0115	0	0	0	0	0.44217	0.033530000000000004	0.00209	0	0	0.01346	0	0	0	0	0.16523	0.6217600000000001	0	0.13225
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0	0	0	0	0	0	0	0	0	0	0.06717999999999999	0.10414000000000001	0	0	0	0.03801	0.0807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00457	0	2.33852	0	0.14405	0.52394	0.0115	0	0	0	0	0.44217	0.033530000000000004	0.00209	0	0	0.01346	0	0	0	0	0.16523	0.6217600000000001	0	0.13225
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales	2|201174|1760|85009	0	0	0	0	0	0	0	0	0	0	0.06717999999999999	0.10414000000000001	0	0	0	0.03801	0.0807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00457	0	2.33852	0	0.14405	0.52394	0.0115	0	0	0	0	0.44217	0.033530000000000004	0.00209	0	0	0.01346	0	0	0	0	0.16523	0.6217600000000001	0	0.13225
